strike,expiration,option_type,implied_volatility,delta,gamma,theta,vega,bid,ask,open_interest,trade_volume,spot,qt
550.0,2026-07-09,P,0.18372,-0.40635,0.014821,-0.21151,55.25935,7.81,7.88,197,0,555.56,2026-06-15 10:30:00
550.0,2026-07-09,C,0.18372,0.59365,0.014821,-0.21151,55.25935,13.35,13.46,197,0,555.56,2026-06-15 10:30:00
555.0,2026-07-09,P,0.18046,-0.48212,0.015502,-0.21346,56.77561,9.93,10.01,204,0,555.56,2026-06-15 10:30:00
555.0,2026-07-09,C,0.18046,0.51788,0.015502,-0.21346,56.77561,10.49,10.57,204,0,555.56,2026-06-15 10:30:00
560.0,2026-07-09,P,0.17738,-0.56055,0.015605,-0.2076,56.1767,12.45,12.55,199,0,555.56,2026-06-15 10:30:00
560.0,2026-07-09,C,0.17738,0.43945,0.015605,-0.2076,56.1767,8.02,8.09,199,0,555.56,2026-06-15 10:30:00
565.0,2026-07-09,P,0.17447,-0.63847,0.015074,-0.194,53.37406,15.36,15.48,183,0,555.56,2026-06-15 10:30:00
565.0,2026-07-09,C,0.17447,0.36153,0.015074,-0.194,53.37406,5.95,6.0,183,0,555.56,2026-06-15 10:30:00
570.0,2026-07-09,P,0.17172,-0.71254,0.013935,-0.17373,48.56224,18.66,18.81,157,0,555.56,2026-06-15 10:30:00
570.0,2026-07-09,C,0.17172,0.28746,0.013935,-0.17373,48.56224,4.28,4.32,157,0,555.56,2026-06-15 10:30:00
575.0,2026-07-09,P,0.16914,-0.77978,0.012296,-0.14872,42.2055,22.34,22.51,127,0,555.56,2026-06-15 10:30:00
575.0,2026-07-09,C,0.16914,0.22022,0.012296,-0.14872,42.2055,2.96,3.0,127,0,555.56,2026-06-15 10:30:00
580.0,2026-07-09,P,0.16671,-0.83789,0.010333,-0.12142,34.95906,26.33,26.54,97,0,555.56,2026-06-15 10:30:00
580.0,2026-07-09,C,0.16671,0.16211,0.010333,-0.12142,34.95906,1.97,2.01,97,0,555.56,2026-06-15 10:30:00
585.0,2026-07-09,P,0.16444,-0.88563,0.008254,-0.09436,27.54341,30.6,30.85,70,0,555.56,2026-06-15 10:30:00
585.0,2026-07-09,C,0.16444,0.11437,0.008254,-0.09436,27.54341,1.26,1.3,70,0,555.56,2026-06-15 10:30:00
590.0,2026-07-09,P,0.16231,-0.92283,0.006256,-0.06969,20.60795,35.09,35.37,47,0,555.56,2026-06-15 10:30:00
590.0,2026-07-09,C,0.16231,0.07717,0.006256,-0.06969,20.60795,0.77,0.81,47,0,555.56,2026-06-15 10:30:00
595.0,2026-07-09,P,0.16034,-0.95029,0.004494,-0.04885,14.6239,39.75,40.07,31,0,555.56,2026-06-15 10:30:00
595.0,2026-07-09,C,0.16034,0.04971,0.004494,-0.04885,14.6239,0.45,0.49,31,0,555.56,2026-06-15 10:30:00
600.0,2026-07-09,P,0.15851,-0.96947,0.003057,-0.03247,9.83396,44.53,44.89,20,0,555.56,2026-06-15 10:30:00
600.0,2026-07-09,C,0.15851,0.03053,0.003057,-0.03247,9.83396,0.24,0.28,20,0,555.56,2026-06-15 10:30:00
605.0,2026-07-09,P,0.15681,-0.98214,0.001968,-0.02046,6.26383,49.39,49.78,13,0,555.56,2026-06-15 10:30:00
605.0,2026-07-09,C,0.15681,0.01786,0.001968,-0.02046,6.26383,0.12,0.16,13,0,555.56,2026-06-15 10:30:00
610.0,2026-07-09,P,0.15526,-0.99005,0.001199,-0.01222,3.7792,54.3,54.73,9,0,555.56,2026-06-15 10:30:00
610.0,2026-07-09,C,0.15526,0.00995,0.001199,-0.01222,3.7792,0.05,0.09,9,0,555.56,2026-06-15 10:30:00
615.0,2026-07-09,P,0.15383,-0.99472,0.000692,-0.00692,2.16076,59.24,59.72,7,0,555.56,2026-06-15 10:30:00
615.0,2026-07-09,C,0.15383,0.00528,0.000692,-0.00692,2.16076,0.02,0.06,7,0,555.56,2026-06-15 10:30:00
620.0,2026-07-09,P,0.15254,-0.99733,0.000379,-0.00372,1.17182,64.2,64.72,5,0,555.56,2026-06-15 10:30:00
620.0,2026-07-09,C,0.15254,0.00267,0.000379,-0.00372,1.17182,-0.0,0.04,5,0,555.56,2026-06-15 10:30:00
470.0,2026-07-16,P,0.26288,-0.01317,0.000795,-0.02323,5.47977,0.18,0.22,5,0,555.56,2026-06-15 10:30:00
470.0,2026-07-16,C,0.26288,0.98683,0.000795,-0.02323,5.47977,85.41,86.1,5,0,555.56,2026-06-15 10:30:00
475.0,2026-07-16,P,0.25609,-0.01633,0.000982,-0.02723,6.59342,0.23,0.27,5,0,555.56,2026-06-15 10:30:00
475.0,2026-07-16,C,0.25609,0.98367,0.000982,-0.02723,6.59342,80.48,81.13,5,0,555.56,2026-06-15 10:30:00
480.0,2026-07-16,P,0.24957,-0.02037,0.001217,-0.03204,7.9604,0.29,0.33,5,0,555.56,2026-06-15 10:30:00
480.0,2026-07-16,C,0.24957,0.97963,0.001217,-0.03204,7.9604,75.56,76.17,5,0,555.56,2026-06-15 10:30:00
485.0,2026-07-16,P,0.24331,-0.02553,0.00151,-0.0378,9.63187,0.37,0.41,5,0,555.56,2026-06-15 10:30:00
485.0,2026-07-16,C,0.24331,0.97447,0.00151,-0.0378,9.63187,70.66,71.23,5,0,555.56,2026-06-15 10:30:00
490.0,2026-07-16,P,0.23731,-0.03214,0.001875,-0.04465,11.66404,0.48,0.52,5,0,555.56,2026-06-15 10:30:00
490.0,2026-07-16,C,0.23731,0.96786,0.001875,-0.04465,11.66404,65.79,66.32,5,0,555.56,2026-06-15 10:30:00
495.0,2026-07-16,P,0.23156,-0.04058,0.002326,-0.05272,14.11567,0.61,0.65,6,0,555.56,2026-06-15 10:30:00
495.0,2026-07-16,C,0.23156,0.95942,0.002326,-0.05272,14.11567,60.94,61.43,6,0,555.56,2026-06-15 10:30:00
500.0,2026-07-16,P,0.22604,-0.0513,0.002876,-0.06214,17.04339,0.79,0.83,8,0,555.56,2026-06-15 10:30:00
500.0,2026-07-16,C,0.22604,0.9487,0.002876,-0.06214,17.04339,56.14,56.59,8,0,555.56,2026-06-15 10:30:00
505.0,2026-07-16,P,0.22076,-0.06486,0.003542,-0.07297,20.49467,1.02,1.06,12,0,555.56,2026-06-15 10:30:00
505.0,2026-07-16,C,0.22076,0.93514,0.003542,-0.07297,20.49467,51.39,51.8,12,0,555.56,2026-06-15 10:30:00
510.0,2026-07-16,P,0.21571,-0.08189,0.004332,-0.08523,24.49772,1.32,1.36,18,0,555.56,2026-06-15 10:30:00
510.0,2026-07-16,C,0.21571,0.91811,0.004332,-0.08523,24.49772,46.71,47.08,18,0,555.56,2026-06-15 10:30:00
515.0,2026-07-16,P,0.21088,-0.10308,0.005255,-0.0988,29.04852,1.7,1.74,28,0,555.56,2026-06-15 10:30:00
515.0,2026-07-16,C,0.21088,0.89692,0.005255,-0.0988,29.04852,42.11,42.45,28,0,555.56,2026-06-15 10:30:00
520.0,2026-07-16,P,0.20626,-0.12915,0.006306,-0.11343,34.09569,2.19,2.23,43,0,555.56,2026-06-15 10:30:00
520.0,2026-07-16,C,0.20626,0.87085,0.006306,-0.11343,34.09569,37.62,37.92,43,0,555.56,2026-06-15 10:30:00
525.0,2026-07-16,P,0.20186,-0.16082,0.00747,-0.12868,39.52484,2.82,2.86,64,0,555.56,2026-06-15 10:30:00
525.0,2026-07-16,C,0.20186,0.83918,0.00747,-0.12868,39.52484,33.27,33.54,64,0,555.56,2026-06-15 10:30:00
530.0,2026-07-16,P,0.19765,-0.19867,0.008713,-0.14392,45.14562,3.62,3.66,90,0,555.56,2026-06-15 10:30:00
530.0,2026-07-16,C,0.19765,0.80133,0.008713,-0.14392,45.14562,29.08,29.32,90,0,555.56,2026-06-15 10:30:00
535.0,2026-07-16,P,0.19365,-0.24311,0.009985,-0.15831,50.68575,4.62,4.66,120,0,555.56,2026-06-15 10:30:00
535.0,2026-07-16,C,0.19365,0.75689,0.009985,-0.15831,50.68575,25.09,25.3,120,0,555.56,2026-06-15 10:30:00
540.0,2026-07-16,P,0.18984,-0.29424,0.011212,-0.17085,55.79692,5.85,5.89,151,0,555.56,2026-06-15 10:30:00
540.0,2026-07-16,C,0.18984,0.70576,0.011212,-0.17085,55.79692,21.34,21.51,151,0,555.56,2026-06-15 10:30:00
545.0,2026-07-16,P,0.18622,-0.35173,0.012307,-0.18044,60.07701,7.34,7.4,178,0,555.56,2026-06-15 10:30:00
545.0,2026-07-16,C,0.18622,0.64827,0.012307,-0.18044,60.07701,17.86,18.0,178,0,555.56,2026-06-15 10:30:00
550.0,2026-07-16,P,0.18278,-0.41474,0.013172,-0.18606,63.11051,9.14,9.21,197,0,555.56,2026-06-15 10:30:00
550.0,2026-07-16,C,0.18278,0.58526,0.013172,-0.18606,63.11051,14.67,14.79,197,0,555.56,2026-06-15 10:30:00
555.0,2026-07-16,P,0.17953,-0.48192,0.013711,-0.18684,64.52483,11.27,11.36,204,0,555.56,2026-06-15 10:30:00
555.0,2026-07-16,C,0.17953,0.51808,0.013711,-0.18684,64.52483,11.82,11.92,204,0,555.56,2026-06-15 10:30:00
560.0,2026-07-16,P,0.17644,-0.5514,0.013849,-0.18229,64.05441,13.74,13.85,199,0,555.56,2026-06-15 10:30:00
560.0,2026-07-16,C,0.17644,0.4486,0.013849,-0.18229,64.05441,9.32,9.39,199,0,555.56,2026-06-15 10:30:00
565.0,2026-07-16,P,0.17353,-0.62095,0.013542,-0.17241,61.59934,16.58,16.71,183,0,555.56,2026-06-15 10:30:00
565.0,2026-07-16,C,0.17353,0.37905,0.013542,-0.17241,61.59934,7.17,7.23,183,0,555.56,2026-06-15 10:30:00
570.0,2026-07-16,P,0.17078,-0.6882,0.012791,-0.15774,57.26292,19.77,19.93,157,0,555.56,2026-06-15 10:30:00
570.0,2026-07-16,C,0.17078,0.3118,0.012791,-0.15774,57.26292,5.38,5.43,157,0,555.56,2026-06-15 10:30:00
575.0,2026-07-16,P,0.1682,-0.75087,0.011647,-0.13932,51.35455,23.3,23.48,127,0,555.56,2026-06-15 10:30:00
575.0,2026-07-16,C,0.1682,0.24913,0.011647,-0.13932,51.35455,3.93,3.97,127,0,555.56,2026-06-15 10:30:00
580.0,2026-07-16,P,0.16577,-0.80705,0.010207,-0.11859,44.35238,27.13,27.35,97,0,555.56,2026-06-15 10:30:00
580.0,2026-07-16,C,0.16577,0.19295,0.010207,-0.11859,44.35238,2.78,2.82,97,0,555.56,2026-06-15 10:30:00
585.0,2026-07-16,P,0.1635,-0.85541,0.008593,-0.09713,36.83094,31.24,31.49,70,0,555.56,2026-06-15 10:30:00
585.0,2026-07-16,C,0.1635,0.14459,0.008593,-0.09713,36.83094,1.9,1.94,70,0,555.56,2026-06-15 10:30:00
590.0,2026-07-16,P,0.16138,-0.89535,0.006943,-0.07645,29.37011,35.58,35.87,47,0,555.56,2026-06-15 10:30:00
590.0,2026-07-16,C,0.16138,0.10465,0.006943,-0.07645,29.37011,1.26,1.3,47,0,555.56,2026-06-15 10:30:00
595.0,2026-07-16,P,0.1594,-0.92693,0.005377,-0.05776,22.4678,40.11,40.43,31,0,555.56,2026-06-15 10:30:00
595.0,2026-07-16,C,0.1594,0.07307,0.005377,-0.05776,22.4678,0.81,0.85,31,0,555.56,2026-06-15 10:30:00
600.0,2026-07-16,P,0.15757,-0.95083,0.003989,-0.04188,16.47703,44.78,45.14,20,0,555.56,2026-06-15 10:30:00
600.0,2026-07-16,C,0.15757,0.04917,0.003989,-0.04188,16.47703,0.49,0.53,20,0,555.56,2026-06-15 10:30:00
605.0,2026-07-16,P,0.15588,-0.96814,0.002834,-0.02911,11.57997,49.55,49.95,13,0,555.56,2026-06-15 10:30:00
605.0,2026-07-16,C,0.15588,0.03186,0.002834,-0.02911,11.57997,0.29,0.33,13,0,555.56,2026-06-15 10:30:00
610.0,2026-07-16,P,0.15432,-0.98012,0.001928,-0.01941,7.7991,54.4,54.84,9,0,555.56,2026-06-15 10:30:00
610.0,2026-07-16,C,0.15432,0.01988,0.001928,-0.01941,7.7991,0.16,0.2,9,0,555.56,2026-06-15 10:30:00
615.0,2026-07-16,P,0.1529,-0.98806,0.001256,-0.01242,5.03552,59.31,59.78,7,0,555.56,2026-06-15 10:30:00
615.0,2026-07-16,C,0.1529,0.01194,0.001256,-0.01242,5.03552,0.08,0.12,7,0,555.56,2026-06-15 10:30:00
620.0,2026-07-16,P,0.1516,-0.99309,0.000785,-0.00763,3.11903,64.24,64.76,5,0,555.56,2026-06-15 10:30:00
620.0,2026-07-16,C,0.1516,0.00691,0.000785,-0.00763,3.11903,0.03,0.07,5,0,555.56,2026-06-15 10:30:00
470.0,2026-07-23,P,0.26222,-0.02175,0.001106,-0.03214,9.31618,0.37,0.41,5,0,555.56,2026-06-15 10:30:00
470.0,2026-07-23,C,0.26222,0.97825,0.001106,-0.03214,9.31618,85.6,86.29,5,0,555.56,2026-06-15 10:30:00
475.0,2026-07-23,P,0.25543,-0.02607,0.001322,-0.03647,10.85007,0.45,0.49,5,0,555.56,2026-06-15 10:30:00
475.0,2026-07-23,C,0.25543,0.97393,0.001322,-0.03647,10.85007,80.7,81.35,5,0,555.56,2026-06-15 10:30:00
480.0,2026-07-23,P,0.24891,-0.03142,0.001584,-0.0415,12.67212,0.54,0.58,5,0,555.56,2026-06-15 10:30:00
480.0,2026-07-23,C,0.24891,0.96858,0.001584,-0.0415,12.67212,75.82,76.42,5,0,555.56,2026-06-15 10:30:00
485.0,2026-07-23,P,0.24265,-0.03804,0.001902,-0.04734,14.82717,0.66,0.7,5,0,555.56,2026-06-15 10:30:00
485.0,2026-07-23,C,0.24265,0.96196,0.001902,-0.04734,14.82717,70.95,71.52,5,0,555.56,2026-06-15 10:30:00
490.0,2026-07-23,P,0.23665,-0.04622,0.002283,-0.05406,17.36113,0.81,0.85,5,0,555.56,2026-06-15 10:30:00
490.0,2026-07-23,C,0.23665,0.95378,0.002283,-0.05406,17.36113,66.12,66.66,5,0,555.56,2026-06-15 10:30:00
495.0,2026-07-23,P,0.23089,-0.05632,0.002739,-0.06173,20.31778,1.0,1.04,6,0,555.56,2026-06-15 10:30:00
495.0,2026-07-23,C,0.23089,0.94368,0.002739,-0.06173,20.31778,61.33,61.83,6,0,555.56,2026-06-15 10:30:00
500.0,2026-07-23,P,0.22538,-0.06874,0.003277,-0.07038,23.73394,1.24,1.28,8,0,555.56,2026-06-15 10:30:00
500.0,2026-07-23,C,0.22538,0.93126,0.003277,-0.07038,23.73394,56.59,57.04,8,0,555.56,2026-06-15 10:30:00
505.0,2026-07-23,P,0.2201,-0.08394,0.003907,-0.08003,27.63278,1.54,1.58,12,0,555.56,2026-06-15 10:30:00
505.0,2026-07-23,C,0.2201,0.91606,0.003907,-0.08003,27.63278,51.91,52.33,12,0,555.56,2026-06-15 10:30:00
510.0,2026-07-23,P,0.21504,-0.10243,0.004633,-0.09059,32.01539,1.91,1.95,18,0,555.56,2026-06-15 10:30:00
510.0,2026-07-23,C,0.21504,0.89757,0.004633,-0.09059,32.01539,47.3,47.68,18,0,555.56,2026-06-15 10:30:00
515.0,2026-07-23,P,0.21021,-0.12476,0.005456,-0.10193,36.85059,2.38,2.42,28,0,555.56,2026-06-15 10:30:00
515.0,2026-07-23,C,0.21021,0.87524,0.005456,-0.10193,36.85059,42.79,43.13,28,0,555.56,2026-06-15 10:30:00
520.0,2026-07-23,P,0.2056,-0.15145,0.006367,-0.11379,42.06407,2.97,3.01,43,0,555.56,2026-06-15 10:30:00
520.0,2026-07-23,C,0.2056,0.84855,0.006367,-0.11379,42.06407,38.39,38.7,43,0,555.56,2026-06-15 10:30:00
525.0,2026-07-23,P,0.20119,-0.18301,0.007352,-0.12582,47.52823,3.69,3.73,64,0,555.56,2026-06-15 10:30:00
525.0,2026-07-23,C,0.20119,0.81699,0.007352,-0.12582,47.52823,34.13,34.4,64,0,555.56,2026-06-15 10:30:00
530.0,2026-07-23,P,0.19699,-0.21984,0.008382,-0.13752,53.05494,4.57,4.61,90,0,555.56,2026-06-15 10:30:00
530.0,2026-07-23,C,0.19699,0.78016,0.008382,-0.13752,53.05494,30.03,30.27,90,0,555.56,2026-06-15 10:30:00
535.0,2026-07-23,P,0.19299,-0.26218,0.009417,-0.14828,58.3941,5.65,5.7,120,0,555.56,2026-06-15 10:30:00
535.0,2026-07-23,C,0.19299,0.73782,0.009417,-0.14828,58.3941,26.13,26.34,120,0,555.56,2026-06-15 10:30:00
540.0,2026-07-23,P,0.18918,-0.31001,0.010404,-0.15742,63.24103,6.95,7.0,151,0,555.56,2026-06-15 10:30:00
540.0,2026-07-23,C,0.18918,0.68999,0.010404,-0.15742,63.24103,22.44,22.62,151,0,555.56,2026-06-15 10:30:00
545.0,2026-07-23,P,0.18556,-0.36302,0.01128,-0.16421,67.25507,8.5,8.57,178,0,555.56,2026-06-15 10:30:00
545.0,2026-07-23,C,0.18556,0.63698,0.01128,-0.16421,67.25507,19.01,19.17,178,0,555.56,2026-06-15 10:30:00
550.0,2026-07-23,P,0.18212,-0.42056,0.011977,-0.16796,70.0903,10.33,10.41,197,0,555.56,2026-06-15 10:30:00
550.0,2026-07-23,C,0.18212,0.57944,0.011977,-0.16796,70.0903,15.86,15.99,197,0,555.56,2026-06-15 10:30:00
555.0,2026-07-23,P,0.17886,-0.48156,0.01243,-0.16812,71.43645,12.46,12.56,204,0,555.56,2026-06-15 10:30:00
555.0,2026-07-23,C,0.17886,0.51844,0.01243,-0.16812,71.43645,13.01,13.12,204,0,555.56,2026-06-15 10:30:00
560.0,2026-07-23,P,0.17578,-0.54462,0.012582,-0.16437,71.06512,14.9,15.02,199,0,555.56,2026-06-15 10:30:00
560.0,2026-07-23,C,0.17578,0.45538,0.012582,-0.16437,71.06512,10.48,10.56,199,0,555.56,2026-06-15 10:30:00
565.0,2026-07-23,P,0.17287,-0.60807,0.012399,-0.15666,68.87289,17.68,17.82,183,0,555.56,2026-06-15 10:30:00
565.0,2026-07-23,C,0.17287,0.39193,0.012399,-0.15666,68.87289,8.28,8.34,183,0,555.56,2026-06-15 10:30:00
570.0,2026-07-23,P,0.17012,-0.67007,0.011875,-0.1453,64.91167,20.78,20.95,157,0,555.56,2026-06-15 10:30:00
570.0,2026-07-23,C,0.17012,0.32993,0.011875,-0.1453,64.91167,6.4,6.45,157,0,555.56,2026-06-15 10:30:00
575.0,2026-07-23,P,0.16754,-0.72884,0.011033,-0.13094,59.39732,24.2,24.39,127,0,555.56,2026-06-15 10:30:00
575.0,2026-07-23,C,0.16754,0.27116,0.011033,-0.13094,59.39732,4.83,4.87,127,0,555.56,2026-06-15 10:30:00
580.0,2026-07-23,P,0.16511,-0.78277,0.009932,-0.11447,52.69126,27.91,28.14,97,0,555.56,2026-06-15 10:30:00
580.0,2026-07-23,C,0.16511,0.21723,0.009932,-0.11447,52.69126,3.56,3.6,97,0,555.56,2026-06-15 10:30:00
585.0,2026-07-23,P,0.16284,-0.83061,0.008649,-0.09697,45.25631,31.89,32.15,70,0,555.56,2026-06-15 10:30:00
585.0,2026-07-23,C,0.16284,0.16939,0.008649,-0.09697,45.25631,2.56,2.6,70,0,555.56,2026-06-15 10:30:00
590.0,2026-07-23,P,0.16071,-0.87161,0.00728,-0.0795,37.59444,36.1,36.39,47,0,555.56,2026-06-15 10:30:00
590.0,2026-07-23,C,0.16071,0.12839,0.00728,-0.0795,37.59444,1.79,1.83,47,0,555.56,2026-06-15 10:30:00
595.0,2026-07-23,P,0.15874,-0.9055,0.005917,-0.06303,30.17941,40.51,40.84,31,0,555.56,2026-06-15 10:30:00
595.0,2026-07-23,C,0.15874,0.0945,0.005917,-0.06303,30.17941,1.21,1.25,31,0,555.56,2026-06-15 10:30:00
600.0,2026-07-23,P,0.1569,-0.93252,0.004641,-0.04831,23.39872,45.08,45.44,20,0,555.56,2026-06-15 10:30:00
600.0,2026-07-23,C,0.1569,0.06748,0.004641,-0.04831,23.39872,0.8,0.84,20,0,555.56,2026-06-15 10:30:00
605.0,2026-07-23,P,0.15521,-0.95326,0.003512,-0.03577,17.51616,49.77,50.17,13,0,555.56,2026-06-15 10:30:00
605.0,2026-07-23,C,0.15521,0.04674,0.003512,-0.03577,17.51616,0.51,0.55,13,0,555.56,2026-06-15 10:30:00
610.0,2026-07-23,P,0.15366,-0.96862,0.002564,-0.0256,12.66041,54.55,54.99,9,0,555.56,2026-06-15 10:30:00
610.0,2026-07-23,C,0.15366,0.03138,0.002564,-0.0256,12.66041,0.31,0.35,9,0,555.56,2026-06-15 10:30:00
615.0,2026-07-23,P,0.15223,-0.97957,0.001807,-0.0177,8.83781,59.41,59.88,7,0,555.56,2026-06-15 10:30:00
615.0,2026-07-23,C,0.15223,0.02043,0.001807,-0.0177,8.83781,0.18,0.22,7,0,555.56,2026-06-15 10:30:00
620.0,2026-07-23,P,0.15094,-0.9871,0.001229,-0.01184,5.96191,64.3,64.82,5,0,555.56,2026-06-15 10:30:00
620.0,2026-07-23,C,0.15094,0.0129,0.001229,-0.01184,5.96191,0.1,0.14,5,0,555.56,2026-06-15 10:30:00
