date,pnl,backtest
2024-11-18,48.22,-71.38
2024-11-19,-1027.66,-771.26
2024-11-20,-90.04,-205.28
2024-11-21,67.62,119.94
2024-11-22,-744.12,-585.4
2024-11-25,-213.15,76.95
2024-11-26,85.99,371.65
2024-11-27,-137.83,-113.38
2024-11-28,-452.29,-270.39
2024-11-29,-452.83,-270.06
2024-12-02,422.13,510.57
2024-12-03,-738.83,-727.25
2024-12-04,-195.21,-110.23
2024-12-05,-353.82,-169.7
2024-12-06,4.02,112.0
2024-12-09,-34.97,5.21
2024-12-10,-684.72,-513.75
2024-12-11,1182.16,1060.04
2024-12-12,306.03,128.81
2024-12-13,-449.93,-631.02
2024-12-16,-465.76,-405.72
2024-12-17,26.2,88.79
2024-12-18,198.19,346.48
2024-12-19,-435.7,-631.08
2024-12-20,314.12,395.67
2024-12-23,-330.97,-646.65
2024-12-24,-671.97,-357.19
2024-12-25,490.9,466.55
2024-12-26,956.58,890.5
2024-12-27,-10.33,-2.35
2024-12-30,-35.81,-114.77
2024-12-31,964.44,673.95
2025-01-01,-509.96,-495.99
2025-01-02,294.69,178.96
2025-01-03,82.55,156.62
2025-01-06,350.54,544.66
2025-01-07,24.55,189.29
2025-01-08,26.04,-93.2
2025-01-09,389.08,347.28
2025-01-10,-743.62,-523.28
2025-01-13,488.64,447.04
2025-01-14,-211.07,-296.34
2025-01-15,-346.87,-415.18
2025-01-16,20.87,-143.82
2025-01-17,-158.39,63.0
2025-01-20,250.84,395.29
2025-01-21,-229.51,-66.34
2025-01-22,427.06,407.86
2025-01-23,720.76,527.54
2025-01-24,-80.43,-12.88
2025-01-27,-400.73,-450.77
2025-01-28,628.76,499.88
2025-01-29,108.33,177.72
2025-01-30,-897.39,-1017.6
2025-01-31,-471.85,-454.14
2025-02-03,376.02,111.58
2025-02-04,-436.01,-645.95
2025-02-05,-366.63,-300.71
2025-02-06,-895.1,-816.46
2025-02-07,518.89,241.13
2025-02-10,33.21,160.76
2025-02-11,304.07,128.06
2025-02-12,705.36,763.74
2025-02-13,-305.94,-136.3
2025-02-14,157.41,-104.59
2025-02-17,1118.97,1049.96
2025-02-18,-761.18,-610.43
2025-02-19,373.19,404.58
2025-02-20,-722.95,-617.55
2025-02-21,17.73,158.13
2025-02-24,1086.36,1097.89
2025-02-25,343.52,175.68
2025-02-26,-553.23,-345.91
2025-02-27,1310.51,1232.11
2025-02-28,-445.53,-231.91
2025-03-03,-70.07,-63.1
2025-03-04,-20.78,192.19
2025-03-05,-828.63,-631.28
2025-03-06,496.49,597.55
2025-03-07,998.95,849.41
2025-03-10,544.36,419.38
2025-03-11,184.17,205.18
2025-03-12,-83.0,-34.65
2025-03-13,499.82,483.37
2025-03-14,-1113.99,-1535.04
2025-03-17,28.61,-22.39
2025-03-18,147.42,168.06
2025-03-19,-1026.28,-952.77
2025-03-20,205.25,253.08
2025-03-21,67.85,-23.75
2025-03-24,108.09,22.72
2025-03-25,-268.35,90.7
2025-03-26,641.0,327.57
2025-03-27,334.01,268.98
2025-03-28,-494.24,-478.68
2025-03-31,381.83,-18.48
2025-04-01,-284.11,-51.05
2025-04-02,-129.58,59.21
2025-04-03,-89.07,-255.55
2025-04-04,523.9,524.93
2025-04-07,823.81,692.27
2025-04-08,983.73,800.85
2025-04-09,1265.89,992.83
2025-04-10,885.54,786.64
2025-04-11,-286.35,-189.97
2025-04-14,-519.49,-267.19
2025-04-15,-139.36,-158.82
2025-04-16,54.43,319.22
2025-04-17,-16.88,-24.92
2025-04-18,414.73,535.55
2025-04-21,921.5,865.2
2025-04-22,-71.83,-175.13
2025-04-23,522.54,529.85
2025-04-24,-364.44,-156.47
2025-04-25,-572.24,-593.25
2025-04-28,-704.36,-594.42
2025-04-29,-74.18,-119.56
2025-04-30,-979.56,-909.55
2025-05-01,638.87,289.66
2025-05-02,711.61,795.34
2025-05-05,-833.52,-542.53
2025-05-06,-265.93,-127.16
2025-05-07,822.7,811.78
2025-05-08,629.83,213.62
2025-05-09,347.19,137.83
2025-05-12,-181.49,-90.77
2025-05-13,548.75,549.33
2025-05-14,21.94,204.62
2025-05-15,-723.76,-502.09
2025-05-16,-1036.18,-1176.05
2025-05-19,-1240.32,-1300.85
2025-05-20,253.61,368.84
2025-05-21,-202.98,-93.04
2025-05-22,826.52,764.06
2025-05-23,395.4,295.0
2025-05-26,-718.96,-596.02
2025-05-27,-74.88,185.19
2025-05-28,769.58,635.93
2025-05-29,-523.63,-410.88
2025-05-30,-492.15,-214.37
2025-06-02,879.96,910.49
2025-06-03,-803.14,-833.2
2025-06-04,-361.91,-505.14
2025-06-05,497.53,565.02
2025-06-06,179.57,139.5
2025-06-09,-724.41,-531.25
2025-06-10,-619.13,-687.62
2025-06-11,37.21,271.73
2025-06-12,736.89,647.13
2025-06-13,477.01,453.29
2025-06-16,14.06,245.59
2025-06-17,690.95,787.74
2025-06-18,444.02,195.57
2025-06-19,-537.93,-376.24
2025-06-20,805.29,1055.94
2025-06-23,-622.52,-577.03
2025-06-24,-4.15,-27.27
2025-06-25,125.07,3.47
2025-06-26,731.63,755.57
2025-06-27,-413.89,-341.85
2025-06-30,-135.45,-98.36
2025-07-01,-735.52,-850.2
2025-07-02,179.93,208.77
2025-07-03,344.9,262.58
2025-07-04,93.85,365.34
2025-07-07,-479.43,-423.37
2025-07-08,143.13,158.18
2025-07-09,-247.77,-402.07
2025-07-10,-131.71,-199.56
2025-07-11,31.51,0.71
2025-07-14,848.07,686.32
2025-07-15,-155.66,-180.14
2025-07-16,600.75,126.99
2025-07-17,-522.21,-383.72
2025-07-18,-228.81,-246.64
2025-07-21,-35.14,-312.59
2025-07-22,76.08,-41.52
2025-07-23,468.02,420.94
2025-07-24,-363.12,-515.65
2025-07-25,326.23,396.37
2025-07-28,-421.31,-439.47
2025-07-29,230.87,203.5
2025-07-30,53.67,-240.44
2025-07-31,-65.53,-116.12
2025-08-01,153.83,-161.08
2025-08-04,580.91,583.53
2025-08-05,201.33,159.73
2025-08-06,312.25,567.99
2025-08-07,-55.44,-151.7
2025-08-08,-386.57,-89.13
2025-08-11,939.17,836.18
2025-08-12,-645.66,-795.23
2025-08-13,-348.58,-410.73
2025-08-14,-218.1,-60.74
2025-08-15,896.8,938.86
2025-08-18,-676.77,-276.7
2025-08-19,316.61,424.97
2025-08-20,854.79,819.16
2025-08-21,-89.97,-90.44
2025-08-22,-115.39,-59.19
2025-08-25,1059.86,863.09
2025-08-26,-197.48,-249.39
2025-08-27,-500.75,-499.32
2025-08-28,468.75,441.48
2025-08-29,-393.49,-230.94
2025-09-01,647.06,676.09
2025-09-02,-1.56,296.77
2025-09-03,-1269.76,-849.95
2025-09-04,110.07,166.66
2025-09-05,168.84,32.89
2025-09-08,-475.17,-304.67
2025-09-09,633.74,579.29
2025-09-10,-1127.38,-858.91
2025-09-11,-608.51,-600.01
2025-09-12,-223.48,-221.71
2025-09-15,417.68,423.11
2025-09-16,-967.07,-744.74
2025-09-17,-214.12,-293.06
2025-09-18,-231.73,-332.56
2025-09-19,-653.39,-731.25
2025-09-22,170.03,-169.93
2025-09-23,-609.51,-552.86
2025-09-24,-178.35,-204.49
2025-09-25,345.54,164.34
2025-09-26,-641.52,-436.71
2025-09-29,-557.2,-417.14
2025-09-30,-311.76,-475.83
2025-10-01,-460.53,-406.65
2025-10-02,-889.96,-767.4
2025-10-03,-500.3,-573.2
2025-10-06,-127.51,78.6
2025-10-07,-401.45,-422.18
2025-10-08,1499.35,1656.95
2025-10-09,-489.35,-390.01
2025-10-10,-154.08,248.01
2025-10-13,-705.04,-736.08
2025-10-14,-80.01,-116.28
2025-10-15,-283.5,-255.63
2025-10-16,-122.18,-20.82
2025-10-17,721.52,687.27
2025-10-20,157.72,-64.14
2025-10-21,-453.2,-585.1
2025-10-22,-25.75,81.74
2025-10-23,-425.24,-461.91
2025-10-24,-74.28,-36.48
2025-10-27,908.35,826.53
2025-10-28,384.56,505.14
2025-10-29,798.93,573.59
2025-10-30,183.61,300.65
2025-10-31,-125.53,24.21
2025-11-03,-685.26,-738.96
2025-11-04,46.84,-202.33
2025-11-05,-482.23,-230.35
2025-11-06,389.03,378.05
2025-11-07,634.34,537.26
2025-11-10,688.41,279.26
2025-11-11,-583.87,-359.79
2025-11-12,1137.88,965.23
2025-11-13,642.28,749.92
2025-11-14,-115.92,-68.82
2025-11-17,285.27,138.56
2025-11-18,371.11,360.14
2025-11-19,-110.75,91.95
2025-11-20,-39.72,-9.27
2025-11-21,231.27,287.21
2025-11-24,74.4,45.2
2025-11-25,2.09,142.16
2025-11-26,-868.76,-765.68
2025-11-27,-813.79,-763.79
2025-11-28,914.88,910.54
2025-12-01,-746.45,-721.18
2025-12-02,348.61,283.61
2025-12-03,296.68,200.19
2025-12-04,200.37,151.25
2025-12-05,-406.66,-306.8
2025-12-08,313.4,547.89
2025-12-09,80.33,215.51
2025-12-10,-235.93,-131.08
2025-12-11,-705.66,-663.61
2025-12-12,58.84,-74.85
2025-12-15,-276.22,-259.48
2025-12-16,-738.77,-589.16
2025-12-17,25.58,230.56
2025-12-18,305.76,331.41
2025-12-19,410.88,457.73
2025-12-22,-67.02,102.11
2025-12-23,-335.85,-79.18
2025-12-24,552.57,614.55
2025-12-25,479.74,431.64
2025-12-26,1221.22,1200.37
2025-12-29,-20.81,328.57
2025-12-30,-615.64,-418.9
2025-12-31,373.77,534.23
2026-01-01,941.7,1218.51
2026-01-02,45.12,189.69
2026-01-05,-266.08,-38.05
2026-01-06,-237.21,-244.36
2026-01-07,781.91,1011.66
2026-01-08,75.4,-36.87
2026-01-09,-43.77,-65.63
2026-01-12,139.91,210.91
2026-01-13,-740.9,-652.87
2026-01-14,9.11,-76.52
2026-01-15,-752.92,-574.2
2026-01-16,-70.11,-9.71
2026-01-19,151.4,311.3
2026-01-20,635.37,527.12
2026-01-21,-312.96,-145.9
2026-01-22,315.84,475.54
2026-01-23,-649.9,-131.73
2026-01-26,-848.58,-763.51
2026-01-27,176.72,352.94
2026-01-28,-73.92,-36.81
2026-01-29,-220.23,122.37
2026-01-30,-1497.73,-1244.59
2026-02-02,250.69,176.77
2026-02-03,-42.2,195.55
2026-02-04,102.84,195.72
2026-02-05,609.4,594.48
2026-02-06,-217.06,-106.66
2026-02-09,1038.84,1151.86
2026-02-10,501.19,441.55
2026-02-11,150.13,352.0
2026-02-12,-1206.29,-1170.74
2026-02-13,-1068.58,-906.55
2026-02-16,541.41,832.23
2026-02-17,163.73,278.22
2026-02-18,628.55,550.06
2026-02-19,-251.81,-105.35
2026-02-20,-198.96,26.48
2026-02-23,230.91,382.57
2026-02-24,-499.5,-306.13
2026-02-25,710.64,754.61
2026-02-26,-733.38,-462.21
2026-02-27,220.57,205.9
2026-03-02,-96.76,-38.45
2026-03-03,340.26,276.62
2026-03-04,536.63,725.63
2026-03-05,-436.8,-458.02
2026-03-06,62.36,332.21
2026-03-09,137.87,167.32
2026-03-10,376.15,530.07
2026-03-11,-190.65,97.48
2026-03-12,-137.31,-135.98
2026-03-13,460.68,362.22
2026-03-16,927.8,779.1
2026-03-17,469.69,521.4
2026-03-18,35.89,191.58
2026-03-19,429.16,326.94
2026-03-20,-919.1,-656.89
2026-03-23,-254.39,-155.87
2026-03-24,-353.35,-11.27
2026-03-25,-251.83,-153.53
2026-03-26,-316.46,-235.29
2026-03-27,-89.47,91.36
2026-03-30,353.16,315.68
2026-03-31,946.26,1085.28
2026-04-01,-284.04,-235.63
2026-04-02,-378.74,-339.87
2026-04-03,474.76,613.07
2026-04-06,-312.66,192.29
2026-04-07,-512.13,-329.89
2026-04-08,784.4,880.29
2026-04-09,-263.16,9.96
2026-04-10,-162.16,-49.27
2026-04-13,-538.92,-193.79
2026-04-14,-374.75,-347.84
2026-04-15,135.08,162.62
2026-04-16,-427.7,-367.31
2026-04-17,1144.3,1338.32
2026-04-20,198.42,276.08
2026-04-21,-327.21,-16.17
2026-04-22,-520.04,-280.53
2026-04-23,174.28,232.6
2026-04-24,376.68,600.69
2026-04-27,61.84,221.84
2026-04-28,-597.27,-471.39
2026-04-29,19.88,-17.06
2026-04-30,-979.84,-755.39
2026-05-01,605.52,813.17
2026-05-04,207.73,436.76
2026-05-05,-173.93,198.53
2026-05-06,145.03,240.73
2026-05-07,-624.89,-189.43
2026-05-08,-225.46,21.52
2026-05-11,644.9,575.0
2026-05-12,-51.49,72.46
2026-05-13,-76.89,388.89
2026-05-14,-71.85,204.61
2026-05-15,334.95,210.67
2026-05-18,85.44,254.24
2026-05-19,767.32,615.4
2026-05-20,-260.21,-50.01
2026-05-21,-57.74,435.99
2026-05-22,-385.62,-298.45
2026-05-25,-355.98,-193.43
2026-05-26,-345.61,-260.48
2026-05-27,239.18,524.72
2026-05-28,-340.83,-51.96
2026-05-29,495.87,712.67
2026-06-01,-697.63,-409.68
2026-06-02,293.98,293.42
2026-06-03,-436.64,-476.57
2026-06-04,502.29,662.83
2026-06-05,-230.88,-244.63
2026-06-08,97.46,330.07
2026-06-09,-416.63,-241.8
2026-06-10,-659.63,-280.55
2026-06-11,283.28,222.65
2026-06-12,-964.21,-755.82
