qt,atm_iv,term_slope_front,term_slope_back,skew_25,gex_bn_per_pct,dex_m_shares
2024-07-09 10:30:00,0.1725,-0.019,0.0107,0.0427,3.774,-8.73
2024-07-10 10:30:00,0.1622,-0.0075,0.011,0.0762,2.034,17.22
2024-07-11 10:30:00,0.1734,-0.0105,0.0119,0.0429,0.931,-25.72
2024-07-12 10:30:00,0.1789,-0.0153,0.0012,0.0611,2.129,1.8
2024-07-15 10:30:00,0.1812,-0.0246,0.0103,0.0413,2.446,-7.73
2024-07-16 10:30:00,0.1666,-0.0306,0.0072,0.0601,2.582,6.77
2024-07-17 10:30:00,0.1666,0.0149,0.0037,0.0464,0.373,25.11
2024-07-18 10:30:00,0.2142,-0.0016,0.0036,0.043,0.76,-40.32
2024-07-19 10:30:00,0.1742,-0.0183,0.011,0.053,-1.003,38.04
2024-07-22 10:30:00,0.1629,0.0016,0.0044,0.0561,-0.643,-5.75
2024-07-23 10:30:00,0.1803,-0.0044,0.0092,0.0546,1.284,-25.17
2024-07-24 10:30:00,0.1659,-0.0367,0.0119,0.0286,0.019,-69.02
2024-07-25 10:30:00,0.1652,-0.0101,0.0147,0.0663,-1.341,-32.86
2024-07-26 10:30:00,0.1718,-0.0047,0.005,0.0301,-0.439,-13.31
2024-07-29 10:30:00,0.1745,0.0027,0.0106,0.0474,0.151,-6.3
2024-07-30 10:30:00,0.1846,-0.0265,0.0141,0.0762,2.682,-18.11
2024-07-31 10:30:00,0.2059,-0.0202,0.0066,0.0396,0.03,-46.83
2024-08-01 10:30:00,0.1717,-0.0134,0.0136,0.041,1.124,-73.11
2024-08-02 10:30:00,0.1736,0.0012,-0.0012,0.0318,-0.571,-41.33
2024-08-05 10:30:00,0.2032,-0.0227,0.0152,0.052,1.56,-12.76
2024-08-06 10:30:00,0.1842,-0.0311,0.0069,0.0442,0.403,-3.35
2024-08-07 10:30:00,0.1852,-0.0158,0.0109,0.0501,1.092,-39.72
2024-08-08 10:30:00,0.1857,0.0075,0.005,0.0392,1.467,5.26
2024-08-09 10:30:00,0.1634,-0.034,-0.0024,0.0487,-0.209,2.47
2024-08-12 10:30:00,0.2192,0.002,0.003,0.0392,1.316,-32.08
2024-08-13 10:30:00,0.1779,-0.0059,-0.0011,0.0286,1.482,-32.56
2024-08-14 10:30:00,0.1663,0.003,0.0044,0.0481,1.526,-5.84
2024-08-15 10:30:00,0.213,-0.0099,0.0094,0.0577,0.516,-20.04
2024-08-16 10:30:00,0.1828,-0.0249,0.0106,0.039,0.918,25.8
2024-08-19 10:30:00,0.1729,-0.0021,0.0116,0.0372,2.488,-25.2
2024-08-20 10:30:00,0.1975,-0.0023,0.0071,0.0395,-0.793,-32.02
2024-08-21 10:30:00,0.1699,-0.0165,0.0035,0.0462,0.955,49.53
2024-08-22 10:30:00,0.1701,-0.0137,0.0091,0.0349,1.645,-23.54
2024-08-23 10:30:00,0.2137,-0.0141,0.01,0.0454,0.527,7.07
2024-08-26 10:30:00,0.1927,-0.0139,0.009,0.0223,2.991,10.18
2024-08-27 10:30:00,0.2014,-0.0121,0.0069,0.0591,2.538,-24.62
2024-08-28 10:30:00,0.1919,-0.0013,0.0115,0.0432,-0.347,6.49
2024-08-29 10:30:00,0.1636,-0.0058,0.004,0.0313,1.718,-26.11
2024-08-30 10:30:00,0.1709,-0.0154,0.0071,0.0367,1.875,6.95
2024-09-02 10:30:00,0.202,-0.0301,0.0075,0.0571,0.621,19.98
2024-09-03 10:30:00,0.1795,-0.0149,0.0029,0.0487,0.948,-28.66
2024-09-04 10:30:00,0.1616,-0.0051,0.003,0.047,0.596,-24.5
2024-09-05 10:30:00,0.173,-0.0239,0.0023,0.0304,2.371,-27.56
2024-09-06 10:30:00,0.1629,-0.0268,0.0083,0.0607,1.303,-20.96
2024-09-09 10:30:00,0.1914,-0.0126,0.0107,0.0571,0.889,1.35
2024-09-10 10:30:00,0.1837,-0.0152,-0.002,0.0364,1.026,-1.63
2024-09-11 10:30:00,0.1675,0.0022,0.0172,0.0699,0.355,-3.16
2024-09-12 10:30:00,0.1689,0.0025,0.0096,0.0271,2.254,5.08
2024-09-13 10:30:00,0.2157,-0.0128,0.0126,0.0474,2.006,2.99
2024-09-16 10:30:00,0.2193,-0.0023,0.0045,0.0444,-0.416,45.63
2024-09-17 10:30:00,0.2676,0.004,0.0112,0.0322,-0.686,-31.37
2024-09-18 10:30:00,0.1812,-0.0003,0.0063,0.0492,2.537,-56.63
2024-09-19 10:30:00,0.1645,-0.014,0.0113,0.0465,-0.516,-1.87
2024-09-20 10:30:00,0.1706,-0.007,0.0011,0.0289,-0.266,24.13
2024-09-23 10:30:00,0.1773,-0.0046,0.0056,0.0432,2.533,-30.34
2024-09-24 10:30:00,0.1724,-0.0171,0.0073,0.0396,1.891,3.98
2024-09-25 10:30:00,0.1775,0.0051,0.0072,0.0423,0.588,17.62
2024-09-26 10:30:00,0.1785,-0.0057,0.0104,0.0416,1.184,-24.48
2024-09-27 10:30:00,0.1761,-0.0184,0.0078,0.0624,-0.55,-23.63
2024-09-30 10:30:00,0.1659,-0.0109,0.0043,0.0517,1.185,1.61
2024-10-01 10:30:00,0.289,-0.0023,0.0086,0.0528,0.17,-5.28
2024-10-02 10:30:00,0.1718,-0.0234,0.004,0.0517,0.656,-11.0
2024-10-03 10:30:00,0.1838,-0.0119,0.007,0.0382,4.2,-79.46
2024-10-04 10:30:00,0.2099,-0.002,0.0127,0.0703,1.923,1.21
2024-10-07 10:30:00,0.1625,-0.0059,0.0145,0.0754,0.332,-60.36
2024-10-08 10:30:00,0.1897,0.0033,0.0073,0.0492,2.158,-44.4
2024-10-09 10:30:00,0.1698,-0.0168,0.0066,0.0645,1.362,-48.82
2024-10-10 10:30:00,0.1756,-0.021,0.0112,0.0479,2.196,-30.14
2024-10-11 10:30:00,0.1768,-0.0036,0.0111,0.0524,1.441,-33.59
2024-10-14 10:30:00,0.172,-0.0195,-0.0004,0.0456,2.211,22.84
2024-10-15 10:30:00,0.1751,0.0054,0.0071,0.0507,0.943,6.42
2024-10-16 10:30:00,0.1644,0.0043,0.0095,0.0464,1.34,-13.1
2024-10-17 10:30:00,0.1924,-0.001,0.0078,0.0345,1.723,-25.3
2024-10-18 10:30:00,0.2158,0.003,0.0091,0.047,1.36,-6.58
2024-10-21 10:30:00,0.1671,0.0052,0.0029,0.033,0.544,-23.83
2024-10-22 10:30:00,0.1722,-0.0089,0.0042,0.0406,0.513,-12.3
2024-10-23 10:30:00,0.2033,0.0017,0.0052,0.0578,2.83,35.79
2024-10-24 10:30:00,0.1634,0.0114,0.0115,0.0418,1.362,-19.48
2024-10-25 10:30:00,0.1743,0.0048,0.0097,0.0224,0.104,-20.39
2024-10-28 10:30:00,0.1748,-0.0408,0.0094,0.0759,2.965,-38.1
2024-10-29 10:30:00,0.1715,-0.0096,0.0091,0.0398,0.672,-83.83
2024-10-30 10:30:00,0.1894,-0.0141,0.0118,0.0536,1.548,-15.91
2024-10-31 10:30:00,0.252,-0.0164,0.0135,0.0445,1.311,-54.05
2024-11-01 10:30:00,0.1703,-0.0135,0.009,0.0161,0.762,-13.5
2024-11-04 10:30:00,0.1777,-0.0209,0.0105,0.0679,3.114,13.27
2024-11-05 10:30:00,0.1864,-0.0193,0.0051,0.0624,0.293,10.32
2024-11-06 10:30:00,0.1811,-0.003,0.0039,0.0641,1.564,-26.58
2024-11-07 10:30:00,0.1613,-0.0115,0.0106,0.0498,0.864,5.92
2024-11-08 10:30:00,0.1814,-0.0031,0.0124,0.0528,0.705,26.96
2024-11-11 10:30:00,0.1722,-0.0178,0.0087,0.0379,1.515,-16.19
2024-11-12 10:30:00,0.1646,-0.0121,0.0049,0.0401,-1.137,-36.58
2024-11-13 10:30:00,0.1866,-0.0088,0.0088,0.0498,0.641,-24.47
2024-11-14 10:30:00,0.1739,-0.0027,0.0061,0.0696,0.425,-1.79
2024-11-15 10:30:00,0.1743,-0.0016,0.0089,0.0094,1.135,-6.1
2024-11-18 10:30:00,0.1842,-0.0359,0.0041,0.0379,1.077,-9.57
2024-11-19 10:30:00,0.1821,-0.023,0.0099,0.0467,1.162,-15.39
2024-11-20 10:30:00,0.1883,0.0068,0.0089,0.0325,2.573,21.54
2024-11-21 10:30:00,0.1678,-0.0034,0.0047,0.0297,0.649,-18.56
2024-11-22 10:30:00,0.1666,-0.0117,0.0098,0.0319,1.069,-15.2
2024-11-25 10:30:00,0.2119,-0.0019,0.0083,0.0661,0.439,12.16
2024-11-26 10:30:00,0.2344,-0.0027,0.0086,0.0554,2.496,-30.61
2024-11-27 10:30:00,0.1709,-0.011,0.0085,0.0489,1.798,-33.97
2024-11-28 10:30:00,0.166,-0.017,0.0121,0.0479,-0.035,-15.93
2024-11-29 10:30:00,0.2004,-0.0007,0.0106,0.0501,0.051,78.9
2024-12-02 10:30:00,0.195,0.0002,0.0056,0.043,-0.599,4.06
2024-12-03 10:30:00,0.1921,-0.003,0.0179,0.0374,1.273,-43.43
2024-12-04 10:30:00,0.173,-0.0244,0.0177,0.023,0.803,-48.1
2024-12-05 10:30:00,0.1647,-0.0146,0.0126,0.0458,0.265,-28.64
2024-12-06 10:30:00,0.1811,-0.0021,0.0039,0.0431,1.84,-18.26
2024-12-09 10:30:00,0.1631,-0.0177,0.0024,0.0612,1.53,-22.04
2024-12-10 10:30:00,0.1739,-0.0087,0.0118,0.0343,-1.136,-24.38
2024-12-11 10:30:00,0.1896,-0.0111,0.0027,0.0403,0.772,17.35
2024-12-12 10:30:00,0.2041,-0.013,0.0068,0.0475,-0.721,-61.03
2024-12-13 10:30:00,0.1852,-0.0142,0.0069,0.0404,1.408,15.65
2024-12-16 10:30:00,0.1963,-0.0138,0.0086,0.0365,0.639,-11.98
2024-12-17 10:30:00,0.1775,-0.022,0.0083,0.0289,1.697,10.29
2024-12-18 10:30:00,0.1719,-0.0251,0.0056,0.0345,0.088,1.22
2024-12-19 10:30:00,0.2068,-0.0051,0.0135,0.0268,0.685,-17.76
2024-12-20 10:30:00,0.162,-0.0239,0.0109,0.033,1.087,-69.98
2024-12-23 10:30:00,0.1673,-0.016,0.0089,0.0463,-0.703,-36.96
2024-12-24 10:30:00,0.1659,0.0029,0.0084,0.0674,0.424,-12.61
2024-12-25 10:30:00,0.1614,-0.002,0.0092,0.0222,-0.206,-28.09
2024-12-26 10:30:00,0.183,-0.0266,0.0044,0.0351,3.11,-9.63
2024-12-27 10:30:00,0.1877,-0.016,0.0068,0.0332,-0.483,23.96
2024-12-30 10:30:00,0.1603,0.002,0.0105,0.0604,0.71,-32.13
2024-12-31 10:30:00,0.1612,-0.0002,0.0038,0.0501,1.385,-7.49
2025-01-01 10:30:00,0.1853,-0.0129,0.0122,0.0409,1.19,-27.54
2025-01-02 10:30:00,0.2145,-0.0146,0.0091,0.0333,-0.428,18.53
2025-01-03 10:30:00,0.1698,-0.0164,0.0074,0.0339,0.519,-23.18
2025-01-06 10:30:00,0.1895,-0.013,0.0103,0.0327,2.768,6.08
2025-01-07 10:30:00,0.1682,0.0109,0.0132,0.0527,-0.119,16.85
2025-01-08 10:30:00,0.1785,-0.0186,0.0112,0.0361,1.999,-31.8
2025-01-09 10:30:00,0.1662,0.009,0.0101,0.0287,-0.161,-38.96
2025-01-10 10:30:00,0.1668,-0.0354,0.0065,0.054,1.781,-20.63
2025-01-13 10:30:00,0.2707,-0.0106,0.0108,0.0625,-0.028,-61.38
2025-01-14 10:30:00,0.172,0.0042,0.0077,0.0463,-0.288,-40.96
2025-01-15 10:30:00,0.1788,-0.0079,0.0077,0.0633,0.115,-4.15
2025-01-16 10:30:00,0.1902,0.0001,0.0152,0.0712,3.253,-35.31
2025-01-17 10:30:00,0.163,0.0013,0.0113,0.0278,0.876,-46.32
2025-01-20 10:30:00,0.1875,0.0042,-0.0044,0.0489,1.154,-16.22
2025-01-21 10:30:00,0.2255,-0.0108,0.0084,0.0684,1.416,11.26
2025-01-22 10:30:00,0.1736,-0.0193,0.0096,0.019,-0.05,-12.37
2025-01-23 10:30:00,0.1767,-0.0016,0.0123,0.0315,0.889,-2.11
2025-01-24 10:30:00,0.1938,-0.0079,0.0087,0.0467,-1.282,9.05
2025-01-27 10:30:00,0.2202,-0.025,0.0127,0.053,0.354,-64.64
2025-01-28 10:30:00,0.1997,-0.0282,0.0046,0.04,1.269,-52.33
2025-01-29 10:30:00,0.1789,-0.0219,0.0066,0.0326,1.088,-6.23
2025-01-30 10:30:00,0.2622,-0.0108,0.0101,0.0478,0.122,-17.72
2025-01-31 10:30:00,0.171,-0.0119,0.0059,0.0379,1.014,-3.46
2025-02-03 10:30:00,0.1922,-0.0303,0.007,0.0421,-0.692,-64.68
2025-02-04 10:30:00,0.1652,0.0031,0.0095,0.0554,-0.161,-23.86
2025-02-05 10:30:00,0.1656,-0.0327,0.0118,0.0448,1.477,-5.63
2025-02-06 10:30:00,0.1626,-0.0077,0.0106,0.0329,1.087,-71.81
2025-02-07 10:30:00,0.1707,-0.0273,0.0084,0.0625,0.983,-15.36
2025-02-10 10:30:00,0.1881,-0.0003,0.0084,0.0519,2.065,-14.08
2025-02-11 10:30:00,0.1625,0.0001,0.0056,0.0442,0.82,8.59
2025-02-12 10:30:00,0.1641,0.0014,0.0105,0.0385,0.509,-37.35
2025-02-13 10:30:00,0.1776,-0.0151,0.0116,0.0472,2.47,-11.76
2025-02-14 10:30:00,0.1891,-0.0148,0.0082,0.0527,0.53,-37.93
2025-02-17 10:30:00,0.1865,-0.024,0.0102,0.0244,1.447,6.33
2025-02-18 10:30:00,0.1871,0.0081,0.0082,0.0607,1.197,0.38
2025-02-19 10:30:00,0.192,-0.0211,0.0101,0.0559,2.326,-27.59
2025-02-20 10:30:00,0.1972,-0.0085,0.0092,0.0395,1.22,-1.14
2025-02-21 10:30:00,0.1656,-0.032,0.007,0.0304,-0.162,-12.08
2025-02-24 10:30:00,0.1815,-0.0239,0.0103,0.0498,2.987,-29.66
2025-02-25 10:30:00,0.1739,-0.0191,0.0064,0.0286,-0.286,21.22
2025-02-26 10:30:00,0.174,-0.017,0.0072,0.0269,-0.415,-21.82
2025-02-27 10:30:00,0.1637,0.0003,0.0051,0.0534,1.575,-24.42
2025-02-28 10:30:00,0.1649,-0.0087,0.005,0.0711,1.038,8.37
2025-03-03 10:30:00,0.1799,0.0055,0.0103,0.0397,-0.12,-32.22
2025-03-04 10:30:00,0.1953,-0.0149,0.0077,0.0707,2.377,-28.26
2025-03-05 10:30:00,0.1799,-0.001,0.0026,0.0549,0.841,-10.01
2025-03-06 10:30:00,0.2016,-0.0018,0.0044,0.0268,0.474,-12.0
2025-03-07 10:30:00,0.1845,-0.0079,0.0053,0.0558,-0.56,7.9
2025-03-10 10:30:00,0.1764,-0.0078,0.011,0.0518,0.991,-6.5
2025-03-11 10:30:00,0.1996,-0.0196,0.0111,0.0547,0.497,-24.5
2025-03-12 10:30:00,0.1672,-0.0228,0.0058,0.0327,-1.45,-39.12
2025-03-13 10:30:00,0.2035,-0.006,0.0099,0.0445,0.316,-20.56
2025-03-14 10:30:00,0.1755,-0.0316,0.0094,0.0345,1.702,-33.32
2025-03-17 10:30:00,0.1623,-0.0227,0.0047,0.0325,0.568,5.33
2025-03-18 10:30:00,0.1744,-0.0145,0.0161,0.0281,0.724,-25.71
2025-03-19 10:30:00,0.1756,-0.0117,0.0057,0.0452,-0.508,-41.21
2025-03-20 10:30:00,0.1614,-0.0087,0.0043,0.0596,-0.196,8.92
2025-03-21 10:30:00,0.192,-0.0066,0.0161,0.0327,0.539,-11.12
2025-03-24 10:30:00,0.1702,0.0129,0.005,0.0559,-0.133,-49.27
2025-03-25 10:30:00,0.1775,-0.0081,0.0106,0.0313,0.215,-14.15
2025-03-26 10:30:00,0.1749,-0.0145,0.0068,0.0495,1.27,-19.75
2025-03-27 10:30:00,0.1713,0.015,0.0122,0.0282,1.896,0.41
2025-03-28 10:30:00,0.1644,-0.0077,0.0047,0.0267,3.119,-7.29
2025-03-31 10:30:00,0.1811,-0.0099,-0.0027,0.0504,0.313,-16.26
2025-04-01 10:30:00,0.1655,-0.0275,0.0081,0.0468,0.22,-14.11
2025-04-02 10:30:00,0.1672,-0.007,0.0056,0.0241,0.344,-13.32
2025-04-03 10:30:00,0.1679,-0.0068,0.0128,0.0603,1.697,2.38
2025-04-04 10:30:00,0.1814,-0.0168,0.0037,0.047,1.301,-13.96
2025-04-07 10:30:00,0.1689,-0.0128,0.0036,0.0373,0.8,-9.12
2025-04-08 10:30:00,0.1723,0.0009,0.0123,0.0476,-1.193,-40.6
2025-04-09 10:30:00,0.1768,-0.0234,0.0127,0.0389,-0.222,1.19
2025-04-10 10:30:00,0.1626,-0.007,0.0121,0.0533,1.172,23.43
2025-04-11 10:30:00,0.1822,0.011,0.0056,0.0635,0.238,-19.27
2025-04-14 10:30:00,0.1979,-0.0016,0.0001,0.0346,3.25,4.37
2025-04-15 10:30:00,0.1828,-0.0099,0.0084,0.0511,1.209,-55.38
2025-04-16 10:30:00,0.178,-0.0168,0.0089,0.0275,0.977,13.54
2025-04-17 10:30:00,0.1778,0.0019,0.0092,0.0351,0.376,1.17
2025-04-18 10:30:00,0.1771,-0.0096,0.0072,0.0599,0.571,-38.41
2025-04-21 10:30:00,0.1917,-0.0057,0.0118,0.051,1.058,-17.49
2025-04-22 10:30:00,0.3915,-0.0028,0.014,0.056,0.679,-44.76
2025-04-23 10:30:00,0.1684,-0.0018,0.0027,0.0517,2.052,-16.28
2025-04-24 10:30:00,0.1867,0.007,0.0127,0.0511,-1.77,-2.06
2025-04-25 10:30:00,0.1638,-0.0137,0.0116,0.0578,0.626,23.03
2025-04-28 10:30:00,0.1706,-0.0028,0.0044,0.0443,1.395,-49.72
2025-04-29 10:30:00,0.1807,-0.0105,0.0067,0.0443,-0.406,-46.97
2025-04-30 10:30:00,0.1766,-0.0161,0.0034,0.0439,-0.525,-0.37
2025-05-01 10:30:00,0.1726,-0.0055,0.0081,0.0474,0.041,-29.85
2025-05-02 10:30:00,0.167,-0.0363,0.0124,0.0605,2.374,-9.44
2025-05-05 10:30:00,0.1748,-0.0109,0.009,0.0401,0.9,-35.78
2025-05-06 10:30:00,0.1726,-0.0026,0.0091,0.0347,-0.843,-14.31
2025-05-07 10:30:00,0.1684,-0.0224,0.0123,0.0448,1.935,36.0
2025-05-08 10:30:00,0.1745,-0.0121,0.0167,0.0547,1.28,-30.76
2025-05-09 10:30:00,0.165,-0.0178,0.0136,0.0523,0.953,-58.59
2025-05-12 10:30:00,0.2096,-0.0131,0.0058,0.0657,2.688,6.28
2025-05-13 10:30:00,0.1973,-0.0229,0.0052,0.0428,-0.003,-50.07
2025-05-14 10:30:00,0.1958,-0.0279,0.0121,0.0418,-1.301,-3.17
2025-05-15 10:30:00,0.2033,-0.0037,0.0105,0.0412,0.515,-48.34
2025-05-16 10:30:00,0.188,-0.0091,0.0001,0.0495,-0.505,-43.8
2025-05-19 10:30:00,0.1637,0.0084,0.0084,0.0285,1.681,-21.17
2025-05-20 10:30:00,0.1696,-0.0308,0.0146,0.0472,1.98,5.49
2025-05-21 10:30:00,0.1711,-0.0066,0.0055,0.0653,-0.849,-12.18
2025-05-22 10:30:00,0.1995,-0.0205,0.002,0.0588,1.292,-33.61
2025-05-23 10:30:00,0.1659,-0.0065,0.0094,0.0289,-0.524,-2.99
2025-05-26 10:30:00,0.1845,0.0033,0.011,0.0745,2.158,7.43
2025-05-27 10:30:00,0.1658,-0.0209,0.013,0.0712,-0.097,-51.02
2025-05-28 10:30:00,0.164,-0.0202,0.0041,0.0298,2.779,-38.65
2025-05-29 10:30:00,0.1811,-0.0145,0.0062,0.0548,0.392,-65.09
2025-05-30 10:30:00,0.161,-0.0227,0.0079,0.0399,0.777,-27.39
2025-06-02 10:30:00,0.1633,0.0012,0.0052,0.0234,0.644,-60.92
2025-06-03 10:30:00,0.1728,0.0021,0.0094,0.0356,-0.875,-37.08
2025-06-04 10:30:00,0.1772,-0.0008,0.0033,0.0368,1.225,-9.34
2025-06-05 10:30:00,0.1746,-0.0041,0.0103,0.0452,0.592,1.67
2025-06-06 10:30:00,0.1674,-0.0136,0.0108,0.035,0.006,-43.18
2025-06-09 10:30:00,0.1781,-0.0052,0.0022,0.0393,-0.503,-19.64
2025-06-10 10:30:00,0.1888,0.0069,0.0083,0.0491,2.18,-29.87
2025-06-11 10:30:00,0.162,-0.0347,0.0087,0.0267,0.21,23.79
2025-06-12 10:30:00,0.1634,-0.0273,0.0053,0.0305,1.335,17.13
2025-06-13 10:30:00,0.2067,0.0037,0.0102,0.0366,0.447,-8.47
2025-06-16 10:30:00,0.1868,-0.0076,0.0132,0.0417,-1.773,-10.23
2025-06-17 10:30:00,0.1707,-0.0047,0.0053,0.0374,0.72,9.45
2025-06-18 10:30:00,0.197,0.0272,0.0128,0.0373,2.191,-11.76
2025-06-19 10:30:00,0.1978,-0.0176,0.0048,0.0386,1.179,-46.47
2025-06-20 10:30:00,0.1881,-0.0088,0.0106,0.0292,0.624,32.31
2025-06-23 10:30:00,0.1752,-0.0029,0.0094,0.0374,0.232,1.02
2025-06-24 10:30:00,0.1844,-0.0135,0.0094,0.0511,0.574,-7.55
2025-06-25 10:30:00,0.1851,-0.0325,0.006,0.0372,0.199,-32.55
2025-06-26 10:30:00,0.1721,-0.0182,0.014,0.0408,1.707,-75.09
2025-06-27 10:30:00,0.1812,-0.0242,0.0116,0.0265,0.391,-14.61
2025-06-30 10:30:00,0.1694,-0.0195,0.0052,0.0667,2.516,-17.37
2025-07-01 10:30:00,0.1681,-0.03,0.0061,0.055,0.333,-30.01
2025-07-02 10:30:00,0.1736,-0.0082,0.0037,0.0541,0.94,26.88
2025-07-03 10:30:00,0.1705,-0.0135,0.0139,0.0614,1.101,-68.86
2025-07-04 10:30:00,0.1822,-0.0015,0.0048,0.0468,-1.216,-13.86
2025-07-07 10:30:00,0.1991,-0.0079,0.0045,0.029,1.981,-22.13
2025-07-08 10:30:00,0.1813,-0.0111,0.0049,0.0373,2.298,-54.49
2025-07-09 10:30:00,0.1632,0.0033,0.008,0.0249,-0.205,-23.51
2025-07-10 10:30:00,0.1698,-0.0159,0.0049,0.0504,-0.17,-27.09
2025-07-11 10:30:00,0.178,-0.0136,0.0016,0.0863,-0.921,2.75
2025-07-14 10:30:00,0.1954,0.0004,0.0137,0.0417,2.032,13.19
2025-07-15 10:30:00,0.1668,-0.0136,0.0062,0.0508,0.791,17.02
2025-07-16 10:30:00,0.1744,0.0066,0.009,0.0427,0.174,-18.04
2025-07-17 10:30:00,0.1746,0.0037,0.0058,0.046,1.46,-38.57
2025-07-18 10:30:00,0.1749,-0.0115,0.0109,0.0425,2.023,-32.63
2025-07-21 10:30:00,0.183,-0.0023,0.0001,0.0434,1.346,-30.59
2025-07-22 10:30:00,0.1737,-0.0087,0.0148,0.0264,0.78,-7.84
2025-07-23 10:30:00,0.1674,0.0025,0.0049,0.0635,0.664,-19.03
2025-07-24 10:30:00,0.1668,0.0083,0.0119,0.0362,2.182,-8.72
2025-07-25 10:30:00,0.1698,-0.0263,0.0111,0.0496,-1.046,-10.93
2025-07-28 10:30:00,0.1672,0.0051,0.0055,0.0436,1.502,-33.0
2025-07-29 10:30:00,0.161,-0.0149,0.0044,0.0298,0.055,-8.54
2025-07-30 10:30:00,0.1774,-0.008,0.005,0.0487,0.113,-38.58
2025-07-31 10:30:00,0.1653,-0.0087,0.0053,0.0319,1.527,23.26
2025-08-01 10:30:00,0.1728,0.0054,0.011,0.043,-0.588,-32.7
2025-08-04 10:30:00,0.2049,-0.0095,0.0121,0.0588,0.377,-26.14
2025-08-05 10:30:00,0.1681,0.0059,0.0107,0.0218,1.596,10.76
2025-08-06 10:30:00,0.1799,-0.0233,0.0044,0.0406,1.082,19.8
2025-08-07 10:30:00,0.1689,0.0005,0.0092,0.0345,-0.188,-26.04
2025-08-08 10:30:00,0.1615,-0.0429,0.0063,0.0346,0.761,-29.24
2025-08-11 10:30:00,0.1753,-0.0086,0.0051,0.0199,0.381,4.52
2025-08-12 10:30:00,0.1975,0.0146,0.0105,0.0516,2.412,39.92
2025-08-13 10:30:00,0.192,-0.0021,0.0118,0.0833,2.275,-30.38
2025-08-14 10:30:00,0.1647,-0.0163,0.0073,0.0508,0.508,-4.26
2025-08-15 10:30:00,0.165,-0.0228,0.0067,0.0449,-0.931,-33.84
2025-08-18 10:30:00,0.175,-0.0192,0.004,0.0555,0.873,-10.84
2025-08-19 10:30:00,0.1967,-0.0119,0.0071,0.0372,-0.286,7.84
2025-08-20 10:30:00,0.1653,-0.0001,0.0076,0.0198,1.996,-2.73
2025-08-21 10:30:00,0.2099,-0.0092,0.0071,0.0375,0.826,26.46
2025-08-22 10:30:00,0.201,-0.0098,0.0091,0.033,-0.863,-14.67
2025-08-25 10:30:00,0.169,-0.0184,0.0073,0.0409,0.885,-46.66
2025-08-26 10:30:00,0.1983,-0.0317,0.0093,0.0508,-0.07,-41.51
2025-08-27 10:30:00,0.1767,0.0043,0.0051,0.0385,-0.864,14.73
2025-08-28 10:30:00,0.1613,-0.013,0.0169,0.0519,-0.11,-0.0
2025-08-29 10:30:00,0.1868,-0.0084,0.0132,0.0429,-0.146,-17.95
2025-09-01 10:30:00,0.1695,-0.0058,0.0143,0.0379,-0.28,-51.89
2025-09-02 10:30:00,0.1612,-0.0059,0.0107,0.0371,-0.863,-33.15
2025-09-03 10:30:00,0.1689,-0.0052,0.0084,0.0511,1.209,4.05
2025-09-04 10:30:00,0.181,0.002,0.0028,0.0326,0.605,-52.15
